Time,Temperature,Humidity,Vbat
1704858545,18.56,56.67,2935
1704860346,18.58,57.46,2938
1704862148,18.56,57.85,2944
1704863944,18.5,58.23,2943
1704865750,18.31,58.61,2943
1704867551,18.34,59.18,2940
1704869352,18.71,58.84,2939
1704871148,18.81,58.79,2939
1704872954,18.62,59.18,2937
1704874756,18.41,59.67,2938
1704876557,18.48,59.75,2938
1704878353,18.41,60.17,2938
1704880159,17.46,52.87,2939
1704881960,18.4,51.08,2944
1704883761,19.59,53.22,2949
1704885562,19.78,54.35,2941
1704887359,19.63,54.34,2939
1704889096,19.56,56.09,2934
1704890892,19.48,56.77,2929
1704892698,19.52,55.33,2934
1704894494,19.59,54.76,2938
1704896300,20.14,53.64,2936
1704898101,20.37,52.29,2923
1704899902,20.22,52.24,2905
1704901704,19.84,51.61,2881
1704903505,19.38,51.36,2869
1704905301,16.14,41.03,2871
1704907107,15.69,42.1,2890
1704908908,18.51,46.52,2910
1704910709,19.19,48.84,2924
1704912510,19.36,50.36,2934
1704914311,19.35,51.74,2935
1704916113,19.34,52.95,2937
1704917914,20.52,52.57,2945
1704919715,21.06,52.52,2956
1704921516,20.29,48.15,2968
1704923317,20.93,48.82,2973
1704925118,21.26,50.29,2968
1704926919,21.16,51.46,2952
1704928715,20.89,52.98,2925
1704930522,21.08,54.04,2897
1704932323,21.03,53.26,2889
1704934119,20.69,53.84,2897
1704935925,20.77,55.24,2908
1704937726,20.51,56.33,2928
1704939527,20.22,56.89,2931
1704941328,20.29,57.94,2915
1704943129,20.3,58.79,2902
1704944930,20.19,59.8,2889
1704946732,20.2,60.46,2880
1704948533,20.15,61.13,2885
1704950334,20.03,61.41,2888
1704952135,19.89,61.67,2891
1704953936,19.78,61.95,2910
1704955737,20.22,61.64,2939
1704957538,20.41,61.3,2967
1704959339,20.13,61.51,2994
1704961141,20.02,61.83,3009
1704962942,19.91,57.56,3010
1704964743,20.27,56.47,3009
1704966544,20.33,56.98,3009
1704968345,20.07,57.69,3010
1704970146,19.76,58.35,3009
1704971947,19.63,58.62,3005
1704973748,19.98,54.09,2997
1704975550,20.99,54.86,2983
