Time,Temperature,Humidity,Vbat
1727972358,21.14,65.46,2837
1727974163,21.13,65.43,2838
1727975965,21.08,65.38,2838
1727977765,21.05,65.39,2838
1727979570,21.01,65.3,2837
1727981372,20.97,65.11,2835
1727983172,20.94,65.28,2835
1727984976,20.94,66.04,2835
1727986779,20.92,66.37,2836
1727988581,20.88,66.07,2837
1727990383,20.97,65.4,2839
1727992185,21.3,64.85,2840
1727993988,21.47,64.78,2840
1727995788,21.6,64.7,2839
1727997592,21.52,64.96,2839
1727999395,21.26,65.56,2839
1728001197,21.2,65.87,2838
1728002997,21.18,66.19,2836
1728004801,21.13,66.46,2836
1728006601,21.1,66.59,2835
1728008406,21.12,66.71,2835
1728010205,21.04,66.95,2836
1728012010,20.99,67.19,2836
1728013812,20.96,67.46,2837
1728015615,20.94,67.73,2838
1728017417,20.92,67.9,2839
1728019219,20.88,67.94,2838
1728021019,20.86,68.37,2836
1728022824,20.85,68.54,2836
1728024623,20.81,68.51,2836
1728026428,20.8,68.49,2836
1728028228,20.79,68.53,2836
1728030033,20.85,68.26,2835
1728031835,20.75,64.83,2835
1728033637,20.57,65.05,2834
1728035439,20.57,65.37,2835
1728037242,20.66,65.25,2835
1728039044,20.67,65.94,2836
1728040844,20.63,65.81,2835
1728042646,20.61,65.44,2835
1728044451,20.64,64.92,2835
1728046253,20.65,64.21,2836
1728048055,20.65,63.84,2835
1728049857,20.67,63.6,2834
1728051660,20.71,63.25,2834
1728053462,20.73,63.2,2835
1728055264,20.71,63.24,2835
1728057066,20.71,63.13,2835
1728058866,20.72,63.14,2835
1728060671,20.72,63.17,2834
1728062473,20.74,63.18,2834
1728064276,20.72,63.3,2835
1728066078,20.71,63.38,2835
1728067880,20.68,63.49,2835
1728069680,20.62,63.6,2834
1728071484,20.57,63.7,2834
1728073284,20.52,63.76,2833
1728075089,20.48,64,2832
1728076891,20.44,64.72,2832
1728078693,20.43,65.69,2831
1728080496,20.42,66.32,2832
1728082298,20.41,66.79,2832
1728084100,20.38,67.18,2833
1728085902,20.34,67.33,2833
1728087705,20.3,67.22,2833
1728089507,20.27,67.31,2832
1728091309,20.24,67.23,2830
1728093109,20.19,66.1,2830
1728094914,20.15,65.87,2828
1728096716,20.12,66.18,2828
1728098518,20.08,66.54,2827
1728100318,20.04,66.81,2827
1728102123,20,67.01,2827
1728103925,19.98,67.16,2827
1728105727,19.96,67.29,2826
1728107529,19.93,67.39,2825
1728109329,19.91,67.47,2825
1728111134,19.89,67.52,2825
1728112936,19.87,67.58,2825
1728114736,19.87,67.6,2825
1728116538,19.89,67.6,2824
1728118343,19.93,67.55,2825
1728120145,20.01,67.47,2825
1728121947,20.16,67.18,2828
1728123750,20.24,67.07,2829
1728125552,20.28,66.15,2830
1728127354,20.32,64.97,2830
1728129156,20.38,64.54,2831
1728130959,20.45,65.43,2832
1728132761,20.56,65.52,2832
1728134561,20.68,65.61,2833
1728136365,20.72,65.74,2833
1728138168,20.9,65.41,2834
1728139970,20.95,64.94,2833
1728141772,21.1,65.02,2834
1728143572,21.18,65.16,2834
1728145377,21.2,65.16,2834
1728147179,21.2,64.66,2835
1728148981,21.21,64.84,2834
1728150784,21.24,64.74,2834
1728152586,21.21,64.44,2833
1728154388,21.19,64.7,2833
1728156190,21.15,65.14,2833
1728157993,21.07,65.04,2834
1728159795,20.99,65.09,2835
1728161597,20.96,65.05,2836
1728163397,20.9,65.03,2836
1728165202,20.85,65.16,2835
1728167001,20.81,65.43,2834
1728168806,20.77,65.5,2833
1728170608,20.72,64.94,2832
1728172410,20.69,64.59,2832
1728174213,20.64,64.58,2832
